objectid,lad19cd,lad19nm,lad19nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
131,E07000108,Dover, ,628967,150940,1.27692997,51.21170044,315066072.265869,139292.874366251
132,E07000109,Gravesham, ,566969,169115,0.39874399,51.39649963,99020167.13592,60505.260207607
133,E07000110,Maidstone, ,580489,151670,0.58406103,51.2356987,393332648.592434,122946.334427241
134,E07000111,Sevenoaks, ,552776,155218,0.188936,51.27560043,370346869.099584,134435.287579731
135,E07000112,Folkestone and Hythe, ,610318,134597,1.00080001,51.07220078,356764717.021557,148352.529645829
136,E07000113,Swale, ,593761,161976,0.77952999,51.32389832,374466771.510749,252594.395810974
137,E07000114,Thanet, ,631844,166753,1.3283,51.35250092,103338982.016368,56839.0946434945
138,E07000115,Tonbridge and Malling, ,564014,153898,0.34930599,51.26060104,240125397.434892,133528.411931655
139,E07000116,Tunbridge Wells, ,573139,136599,0.471632,51.10250092,331328859.088812,150590.325288019
140,E07000117,Burnley, ,384886,430882,-2.23079991,53.77410126,110683998.009138,57764.4790119054
141,E07000118,Chorley, ,359189,419724,-2.61921,53.67240143,202796544.06179,102881.195104927
142,E07000119,Fylde, ,339562,433812,-2.91901994,53.79710007,165770476.279055,105571.125122578
143,E07000120,Hyndburn, ,374407,428971,-2.38964009,53.75650024,72997474.6855102,42655.4748213901
144,E07000121,Lancaster, ,356896,464988,-2.66030002,54.07899857,576217402.734445,322522.330869179
145,E07000122,Pendle, ,387637,443368,-2.18956995,53.88639832,169380096.549018,79243.5750121317
146,E07000123,Preston, ,352820,436429,-2.71816993,53.8219986,142293669.28624,79082.5562239416
147,E07000124,Ribble Valley, ,372687,447676,-2.41739988,53.92449951,584471490.443772,150499.795921915
148,E07000125,Rossendale, ,382827,420955,-2.26149011,53.68479919,138040902.835425,71149.6667616769
149,E07000126,South Ribble, ,352016,425840,-2.72872996,53.72669983,112955569.643653,94374.7080610198
150,E07000127,West Lancashire, ,342611,413268,-2.8689301,53.6128006,346783945.601812,156000.654348782
151,E07000128,Wyre, ,347227,445159,-2.80462003,53.89989853,282147531.746689,191451.04937646
152,E07000129,Blaby, ,454385,297994,-1.19886994,52.57709885,130468677.753455,100819.764190681
158,E07000135,Oadby and Wigston, ,461543,299379,-1.09300005,52.58869934,23526096.7699291,31171.7276131167
159,E07000136,Boston, ,526851,343953,-0.11218,52.97790146,364889917.626114,156195.176601609
160,E07000137,East Lindsey, ,534862,376106,0.020549,53.26480103,1765004488.00959,316614.317765278
204,E07000194,Lichfield, ,416283,310967,-1.76048994,52.69620132,331294331.620226,127468.133749986
205,E07000195,Newcastle-under-Lyme, ,378199,345174,-2.32630992,53.0033989,210957320.57934,108258.877906431
206,E07000196,South Staffordshire, ,389625,311037,-2.1549499,52.69689941,407322253.103956,184894.034718806
207,E07000197,Stafford, ,389001,327836,-2.1647501,52.84790039,598172232.707001,159078.504003981
161,E07000138,Lincoln, ,496347,370096,-0.55848002,53.21920013,35690273.0138446,32969.6756558939
162,E07000139,North Kesteven, ,502135,354788,-0.47670001,53.08060074,922471384.859963,181807.543062247
163,E07000140,South Holland, ,532909,322928,-0.03058,52.78760147,750912064.646949,198169.832492443
164,E07000141,South Kesteven, ,501406,328986,-0.49564999,52.84889984,942585798.373277,209816.236294175
165,E07000142,West Lindsey, ,499314,390326,-0.50774002,53.40039825,1155731960.83223,249630.479791101
166,E07000143,Breckland, ,591015,303330,0.81871599,52.59420013,1305116638.41063,239527.47521659
167,E07000144,Broadland, ,619865,315909,1.25232995,52.69620132,552400758.918849,205126.091520387
168,E07000145,Great Yarmouth, ,646760,315882,1.64950001,52.68439865,174470645.245139,137814.064026056
169,E07000146,King's Lynn and West Norfolk, ,571220,315805,0.53325802,52.71279907,1438842449.6369,432699.717181197
170,E07000147,North Norfolk, ,611083,330845,1.13218999,52.83380127,964046164.992957,357487.547271189
171,E07000148,Norwich, ,622355,309773,1.28498006,52.64009857,39023520.173195,52508.9869754658
172,E07000149,South Norfolk, ,628991,295823,1.37325001,52.5121994,907705136.227451,258369.280341696
173,E07000150,Corby, ,487862,290681,-0.7069,52.50699997,80280906.2952839,66291.5010352366
174,E07000151,Daventry, ,467286,268437,-1.01446998,52.30989838,665600472.477655,181982.558865479
175,E07000152,East Northamptonshire, ,501344,287839,-0.50919998,52.47909927,509787253.103236,163228.73612724
176,E07000153,Kettering, ,483866,282852,-0.76773,52.43719864,233489921.553577,100689.325547757
177,E07000154,Northampton, ,476495,260539,-0.88121003,52.2378006,80771940.1185786,46341.4275064866
178,E07000155,South Northamptonshire, ,463000,247077,-1.08129001,52.11840057,634023178.6086,225304.037070246
179,E07000156,Wellingborough, ,487787,266827,-0.71425003,52.29259872,163036488.548455,69758.3288433286
180,E07000163,Craven, ,389513,461989,-2.16167998,54.05379868,1178807442.73741,199883.569852487
181,E07000164,Hambleton, ,443009,490546,-1.34048998,54.30870056,1311228117.62584,298519.508232088
182,E07000165,Harrogate, ,427473,464652,-1.58160996,54.07709885,1309127592.43027,246964.316750882
183,E07000166,Richmondshire, ,401039,495786,-1.98552001,54.35760117,1318707276.52561,221709.912645666
184,E07000167,Ryedale, ,475590,478890,-0.84276998,54.20019913,1506593794.4183,249893.912756358
185,E07000168,Scarborough, ,495797,495547,-0.52780002,54.3465004,816487082.759072,243175.612216704
186,E07000169,Selby, ,457551,426670,-1.12908006,53.73329926,599310812.540867,264868.941863581
187,E07000170,Ashfield, ,450035,355843,-1.25422001,53.09749985,109557940.927342,69174.6918215371
188,E07000171,Bassetlaw, ,468073,384835,-0.97869998,53.35599899,637803646.35049,159734.41795561
189,E07000172,Broxtowe, ,449829,341893,-1.25943995,52.9720993,80098842.9003551,65999.612903975
190,E07000173,Gedling, ,459184,347811,-1.11907005,53.02429962,119981505.985705,69754.2747811507
191,E07000174,Mansfield, ,455047,363637,-1.17804003,53.16699982,76696894.9436016,51090.7596451505
192,E07000175,Newark and Sherwood, ,470624,357451,-0.94643003,53.10960007,651340472.517056,187422.204220241
193,E07000176,Rushcliffe, ,466606,335453,-1.01097,52.91239929,409231535.343581,123324.153239106
194,E07000177,Cherwell, ,449301,221201,-1.28506005,51.8871994,588741164.73178,225625.570851703
208,E07000198,Staffordshire Moorlands, ,400543,352443,-1.99334002,53.06919861,575849820.398545,152448.005729777
209,E07000199,Tamworth, ,421455,302550,-1.68450999,52.62030029,30850718.8332439,30729.9287491254
210,E07000200,Babergh, ,599994,244657,0.91623098,52.06420135,595214503.382836,190607.807387431
195,E07000178,Oxford, ,452277,206368,-1.24405003,51.75360107,45602896.793428,34999.0083795496
196,E07000179,South Oxfordshire, ,463890,191964,-1.07846999,51.6228981,678537173.463793,205361.18484369
197,E07000180,Vale of White Horse, ,435693,195197,-1.48543,51.65439987,578644537.263608,175937.923358861
198,E07000181,West Oxfordshire, ,434343,215816,-1.50292003,51.83990097,714422027.333139,160247.414083592
199,E07000187,Mendip, ,362238,144090,-2.54177999,51.19480133,739435426.378028,198849.769170445
200,E07000188,Sedgemoor, ,338426,143997,-2.88250995,51.19179916,564358331.446778,243393.19852994
201,E07000189,South Somerset, ,345633,120798,-2.7758801,50.98400116,959040235.459455,241316.697821417
202,E07000192,Cannock Chase, ,401261,311553,-1.98276997,52.7016983,78882571.193239,50127.5676826923
203,E07000193,East Staffordshire, ,412601,326569,-1.81438005,52.83649826,389985151.40208,183775.439600219
213,E07000207,Elmbridge, ,511882,163658,-0.39441001,51.36100006,96334274.6556752,52205.9885267661
214,E07000208,Epsom and Ewell, ,521176,161475,-0.26172,51.33950043,34079153.5815919,28503.6647117779
215,E07000209,Guildford, ,500408,151481,-0.56256998,51.25370026,270931186.772672,128414.080243332
216,E07000210,Mole Valley, ,518377,148953,-0.30603001,51.22750092,258320951.186321,105402.661550447
217,E07000211,Reigate and Banstead, ,525786,152574,-0.19870999,51.25849915,129143924.042269,79923.3711404565
218,E07000212,Runnymede, ,501777,166979,-0.53855002,51.3927002,78040686.6921154,45677.2898592889
219,E07000213,Spelthorne, ,507012,169622,-0.46254,51.41550064,51161363.0083092,44134.4427959953
220,E07000214,Surrey Heath, ,491362,160483,-0.68985999,51.33610153,95092959.2525127,53559.6224961749
221,E07000215,Tandridge, ,536365,150325,-0.04805,51.2358017,248194569.760389,83136.7824737651
222,E07000216,Waverley, ,496363,140635,-0.62343001,51.1568985,345170238.580987,125435.746968359
223,E07000217,Woking, ,499087,157542,-0.57981998,51.3083992,63603603.4635873,54781.3272127068
224,E07000218,North Warwickshire, ,425570,296399,-1.62419999,52.56480026,284263709.628278,113280.485952954
225,E07000219,Nuneaton and Bedworth, ,435419,289352,-1.47965002,52.50090027,78950291.6471884,48148.5849498909
226,E07000220,Rugby, ,446498,276244,-1.31827998,52.38230133,353557288.510638,115093.419606902
227,E07000221,Stratford-on-Avon, ,425019,251536,-1.63565004,52.16149902,977869055.748916,261383.671553822
228,E07000222,Warwick, ,428484,267113,-1.58369005,52.30139923,282882319.745321,116717.127234732
229,E07000223,Adur, ,518065,106473,-0.32433,50.84569931,41929794.7682576,56705.0976909295
230,E07000224,Arun, ,495145,105724,-0.64998001,50.84320068,220932571.000188,153690.6986983
231,E07000225,Chichester, ,490285,116600,-0.71630001,50.94179916,786216138.376334,243042.286294867
232,E07000226,Crawley, ,526390,137581,-0.19532999,51.12360001,44971203.4959802,38799.408043747
233,E07000227,Horsham, ,513676,123839,-0.38123,51.00270081,530270865.698028,212479.74116923
234,E07000228,Mid Sussex, ,533054,130623,-0.10272,51.05950165,334029226.859608,132912.16861312
244,E07000242,East Hertfordshire, ,537995,220370,0.002739,51.8647995,475669216.338076,135188.741435778
279,E08000032,Bradford, ,408395,438626,-1.87389004,53.84379959,366419745.92219,135920.252083519
280,E08000033,Calderdale, ,402617,424896,-1.96182001,53.72050095,363960992.234242,107687.181128371
235,E07000229,Worthing, ,512679,104948,-0.40127,50.83309937,32521824.5004376,29411.5460456279
236,E07000234,Bromsgrove, ,399840,273736,-2.0037601,52.36169815,216968480.76644,113135.303807273
237,E07000235,Malvern Hills, ,377465,252197,-2.33088994,52.16759872,577070978.260421,230605.309184959
238,E07000236,Redditch, ,403705,265253,-1.94710004,52.28540039,54250912.1376846,41301.7132492285
270,E08000023,South Tyneside, ,435503,564057,-1.44695997,54.96989822,64394241.6541133,51107.2389327033
271,E08000024,Sunderland, ,436470,551525,-1.43343997,54.85720062,137438871.889388,99845.9079277868
272,E08000025,Birmingham, ,408150,287352,-1.88141,52.48400116,267791059.026541,106260.436358162
273,E08000026,Coventry, ,432807,279689,-1.51908004,52.41419983,98639060.6520562,54057.191046945
274,E08000027,Dudley, ,393191,288584,-2.10171008,52.49509811,97958243.7456357,75382.126486278
275,E08000028,Sandwell, ,399573,290764,-2.00770998,52.51480103,85558927.2389055,59210.7250254057
276,E08000029,Solihull, ,419434,281483,-1.71557999,52.43099976,178282116.855714,101031.223245893
277,E08000030,Walsall, ,402098,300804,-1.97044003,52.60499954,103973538.346296,59401.1794286029
278,E08000031,Wolverhampton, ,391463,300016,-2.12746,52.59790039,69436709.4810725,56054.7853531288
239,E07000237,Worcester, ,385725,255196,-2.2102499,52.19480133,33278124.9592831,31263.0662267641
240,E07000238,Wychavon, ,398991,247839,-2.01613998,52.12889862,663541973.211765,219519.673598605
241,E07000239,Wyre Forest, ,384106,276388,-2.23494005,52.38529968,195403721.228861,100867.074265946
242,E07000240,St Albans, ,514580,209623,-0.3407,51.77360153,161205876.386871,72946.0524715184
243,E07000241,Welwyn Hatfield, ,525345,208467,-0.18517999,51.76089859,129536897.172601,82391.8388467847
245,E07000243,Stevenage, ,524622,224531,-0.18987,51.90539932,25969241.2740336,28588.2156282389
246,E07000244,East Suffolk, ,636039,266218,1.45608997,52.24349976,1261861362.68416,495476.821633217
247,E07000245,West Suffolk, ,580944,271124,0.65276903,52.3083992,1034675782.93389,274547.455517441
248,E07000246,Somerset West and Taunton, ,304960,130228,-3.35766006,51.06349945,1189264623.3718,286950.097471676
249,E08000001,Bolton, ,368352,409873,-2.47952008,53.58449936,139792049.940795,82646.8929448605
250,E08000002,Bury, ,379658,410768,-2.30879998,53.5931015,99460126.8771015,68541.6872822875
251,E08000003,Manchester, ,384591,397063,-2.23358989,53.4701004,115648234.745906,86851.007186631
252,E08000004,Oldham, ,396603,406784,-2.0527401,53.55770111,142344917.863758,71165.6720871541
253,E08000005,Rochdale, ,390315,412326,-2.14784002,53.60739899,158128175.375561,82713.1066981641
254,E08000006,Salford, ,374556,398128,-2.38485003,53.47930145,97197271.077994,63268.4725546986
255,E08000007,Stockport, ,391806,388264,-2.12467003,53.39120102,126040279.165044,73638.5814668057
256,E08000008,Tameside, ,394987,397995,-2.0769999,53.47869873,103154300.983384,55988.9178785367
257,E08000009,Trafford, ,375790,391162,-2.36572003,53.41669846,106044769.990698,60712.6100365477
258,E08000010,Wigan, ,362136,402126,-2.57246995,53.51449966,188171010.75079,88690.0305712198
259,E08000011,Knowsley, ,344762,393778,-2.8329699,53.43790054,86500060.8726786,68167.3486986162
260,E08000012,Liverpool, ,339361,390553,-2.91364002,53.40829849,111835576.040326,62700.0178853272
261,E08000013,St. Helens, ,353412,395992,-2.70309997,53.45859909,136358794.366676,76386.5491483842
262,E08000014,Sefton, ,334264,398832,-2.99203992,53.48210144,154990926.132401,120319.680407348
263,E08000015,Wirral, ,329242,386937,-3.06502008,53.37450027,157046386.760854,75204.9798998481
264,E08000016,Barnsley, ,429979,403327,-1.54925001,53.5257988,329077595.111662,126421.05007535
265,E08000017,Doncaster, ,459167,403735,-1.10894001,53.52700043,568022260.537641,171070.148909741
266,E08000018,Rotherham, ,447542,388980,-1.28650999,53.39550018,286534366.823531,106151.892001411
267,E08000019,Sheffield, ,430511,389736,-1.54253995,53.40359879,367930013.921087,132837.034991281
268,E08000021,Newcastle upon Tyne, ,422287,569662,-1.65296996,55.02099991,113456204.612956,65248.2974091481
269,E08000022,North Tyneside, ,431471,570602,-1.50923002,55.02899933,82317111.4022027,65430.5532380895
281,E08000034,Kirklees, ,414586,416223,-1.78085005,53.64229965,408551660.68539,125668.238821408
282,E08000035,Leeds, ,432528,436384,-1.50735998,53.8227005,551706535.383513,161521.625371979
283,E08000036,Wakefield, ,438366,418235,-1.42092001,53.65919876,338619733.891006,109447.281659335
284,E08000037,Gateshead, ,420168,559658,-1.6868,54.93119812,142359280.265907,89671.5863878648
285,E09000001,City of London, ,532382,181358,-0.09351,51.5155983,2903927.25690088,9249.71693714171
286,E09000002,Barking and Dagenham, ,547759,185107,0.12950601,51.54550171,36107815.8302786,40695.5568884414
287,E09000003,Barnet, ,523472,191753,-0.21821,51.61109924,86748322.496515,50818.3804574423
288,E09000004,Bexley, ,549202,175433,0.146212,51.45819855,60576277.992597,45157.4886389674
291,E09000007,Camden, ,527492,184284,-0.16289,51.54309845,21789302.2441658,26150.6711730949
292,E09000008,Croydon, ,533922,164745,-0.07761,51.36600113,86494434.5029428,58703.7701326634
289,E09000005,Brent, ,519615,186468,-0.27568001,51.56439972,43232647.6928238,38333.827556033
290,E09000006,Bromley, ,542036,165708,0.039246,51.37269974,150134862.065978,76163.8110597667
293,E09000009,Ealing, ,517057,181960,-0.31406999,51.5243988,55544345.9732773,47438.6523450372
294,E09000010,Enfield, ,532829,196197,-0.08147,51.64889908,82200192.5950439,41064.4744626872
295,E09000011,Greenwich, ,542508,175881,0.050108,51.4640007,47334079.9905677,47610.7254551995
296,E09000012,Hackney, ,534560,185787,-0.06045,51.55490112,19049030.3602782,25382.8102905074
353,S12000040,West Lothian, ,299483,668514,-3.60909009,55.89920044,428772096.161537,134896.606088383
354,S12000041,Angus, ,345518,759594,-2.89189005,56.72480011,2185180133.01332,319847.445399012
297,E09000013,Hammersmith and Fulham, ,523866,177998,-0.21736,51.48740005,16397617.1221127,23940.2964651924
373,W06000014,Vale of Glamorgan,Bro Morgannwg,302946,173083,-3.39803004,51.44839859,331192712.609324,106758.228372065
374,W06000015,Cardiff,Caerdydd,315270,178887,-3.22212005,51.50249863,142287247.21441,79678.373536679
375,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf,302237,192395,-3.41358995,51.62179947,424150425.37094,130240.443067924
376,W06000018,Caerphilly,Caerffili,317245,195259,-3.19753003,51.65000153,277387820.379736,116205.419131695
377,W06000019,Blaenau Gwent,Blaenau Gwent,318236,206771,-3.18592,51.75360107,108728048.165287,65601.6744409108
378,W06000020,Torfaen,Torfaen,327459,200480,-3.05100989,51.69839859,126239927.851543,82544.7134601979
379,W06000021,Monmouthshire,Sir Fynwy,337812,209231,-2.90280008,51.77830124,850271715.887733,223991.692506043
380,W06000022,Newport,Casnewydd,337897,187433,-2.89769006,51.58229828,190524787.375235,153275.963700857
381,W06000023,Powys,Powys,302328,273254,-3.43532991,52.34859848,5195320913.6498,610095.483915754
382,W06000024,Merthyr Tydfil,Merthyr Tudful,305916,206424,-3.36424994,51.74860001,111957012.018218,66696.8150454335
298,E09000014,Haringey, ,531262,189349,-0.10667,51.58769989,29598384.0452455,29025.065714741
299,E09000015,Harrow, ,515356,189736,-0.33603001,51.59469986,50463306.7829472,33735.4591786632
300,E09000016,Havering, ,555032,187514,0.235368,51.56520081,112349657.904985,63559.3564886755
301,E09000017,Hillingdon, ,508166,183120,-0.44182,51.53659821,115700539.770317,63886.5096560207
302,E09000018,Hounslow, ,512744,174965,-0.37843999,51.46239853,55977912.8928835,61322.4861182297
303,E09000019,Islington, ,531158,184647,-0.10992,51.54550171,14856650.254628,20727.79702815
304,E09000020,Kensington and Chelsea, ,525757,179053,-0.18976,51.49639893,12123854.5648725,20973.6352518306
305,E09000021,Kingston upon Thames, ,519508,167389,-0.28367001,51.39300156,37261179.8459499,37553.0999548275
306,E09000022,Lambeth, ,531118,175626,-0.11385,51.46440125,26810035.9805003,33856.6849721075
307,E09000023,Lewisham, ,537889,173344,-0.01733,51.44229889,35149082.0649903,41169.5186361608
308,E09000024,Merton, ,526069,169507,-0.18866999,51.41059875,37624734.5012577,32348.9978725352
309,E09000025,Newham, ,540721,183327,0.027369,51.53129959,36201721.5557677,34939.8140420307
310,E09000026,Redbridge, ,543512,189478,0.070085,51.58589935,56419220.735741,48674.1818412979
311,E09000027,Richmond upon Thames, ,519005,172648,-0.28913999,51.44029999,57406781.1961836,67768.0254418768
312,E09000028,Southwark, ,533945,175862,-0.07309,51.46590042,28862040.2511964,34210.1990806082
313,E09000029,Sutton, ,527356,163640,-0.17227,51.35760117,43846979.0154511,39844.2391971352
314,E09000030,Tower Hamlets, ,536345,181451,-0.0364,51.51549911,19786310.9374238,28568.2638202457
315,E09000031,Waltham Forest, ,537327,190277,-0.01881,51.59460068,38807961.7758419,33339.2697362682
316,E09000032,Wandsworth, ,525152,174137,-0.20021001,51.45240021,34263367.1982033,38675.3193298412
317,E09000033,Westminster, ,528268,180871,-0.15295,51.5121994,21486972.4445165,27304.1293575031
318,N09000001,Antrim and Newtownabbey, ,130813,541285,-6.17759991,54.69390106,728186551.768488,165143.647497096
319,N09000002,"Armagh City, Banbridge and Craigavon", ,112110,508158,-6.43454981,54.38669968,1437068551.56837,243055.203974343
320,N09000003,Belfast, ,146465,529747,-5.92535019,54.5984993,137716639.0431,65907.3261513843
321,N09000004,Causeway Coast and Glens, ,106168,581420,-6.59959984,55.03960037,1985534511.79131,381746.117369103
322,N09000005,Derry City and Strabane, ,51779,559566,-7.42063999,54.80899811,1251241561.30212,271488.623586451
323,N09000006,Fermanagh and Omagh, ,41233,513013,-7.52710009,54.3852005,3012114877.80394,426623.080349471
324,N09000007,Lisburn and Castlereagh, ,138712,518920,-6.03544998,54.49750137,510438061.787348,167382.214942245
325,N09000008,Mid and East Antrim, ,133943,560151,-6.14645004,54.86460114,1061355469.02703,234861.298858188
326,N09000009,Mid Ulster, ,83920,528564,-6.8888998,54.55270004,1957293802.27366,318432.770558373
327,N09000010,"Newry, Mourne and Down", ,133006,480432,-6.0889101,54.1495018,1682340590.4349,380090.828046607
328,N09000011,Ards and North Down, ,164321,524944,-5.64567995,54.56409836,566472954.824229,204680.903065047
329,S12000005,Clackmannanshire, ,291159,696335,-3.7534399,56.14720154,158972121.378022,94185.1842090515
330,S12000006,Dumfries and Galloway, ,270645,579857,-4.02862978,55.09619904,6437604866.45123,1148187.92286648
331,S12000008,East Ayrshire, ,255398,624935,-4.29056978,55.49670029,1270341775.70615,340970.768285845
332,S12000010,East Lothian, ,354854,672351,-2.72434998,55.94210052,679179833.434461,200290.140341385
333,S12000011,East Renfrewshire, ,251929,653115,-4.36059999,55.74869919,174249494.082067,93882.4256590239
334,S12000013,Na h-Eileanan Siar, ,126473,932862,-6.65721989,58.19940186,3099800670.68921,3929714.4809611
335,S12000014,Falkirk, ,289661,679536,-3.77060008,55.99599838,297365615.184961,145018.650435545
